state_name,year,forecast,model
Andhra Pradesh,2015,611685.957624941,"ARIMA(0,1,0) with drift"
Andhra Pradesh,2016,702090.945308208,"ARIMA(0,1,0) with drift"
Andhra Pradesh,2017,805857.465483975,"ARIMA(0,1,0) with drift"
Andhra Pradesh,2018,924960.30466705,"ARIMA(0,1,0) with drift"
Andhra Pradesh,2019,1061666.11572673,"ARIMA(0,1,0) with drift"
Andhra Pradesh,2020,1218576.55468579,"ARIMA(0,1,0) with drift"
Andhra Pradesh,2021,1398677.79298335,"ARIMA(0,1,0) with drift"
Andhra Pradesh,2022,1605397.34747254,"ARIMA(0,1,0) with drift"
Andhra Pradesh,2023,1842669.3096875,"ARIMA(0,1,0) with drift"
Andhra Pradesh,2024,2115009.21576194,"ARIMA(0,1,0) with drift"
Arunachal Pradesh,2015,19003.272509507,"ARIMA(0,1,0) with drift"
Arunachal Pradesh,2016,22034.2484711353,"ARIMA(0,1,0) with drift"
Arunachal Pradesh,2017,25548.6577611744,"ARIMA(0,1,0) with drift"
Arunachal Pradesh,2018,29623.6068251973,"ARIMA(0,1,0) with drift"
Arunachal Pradesh,2019,34348.5004001845,"ARIMA(0,1,0) with drift"
Arunachal Pradesh,2020,39827.0030622315,"ARIMA(0,1,0) with drift"
Arunachal Pradesh,2021,46179.3136363671,"ARIMA(0,1,0) with drift"
Arunachal Pradesh,2022,53544.8023692312,"ARIMA(0,1,0) with drift"
Arunachal Pradesh,2023,62085.0687244121,"ARIMA(0,1,0) with drift"
Arunachal Pradesh,2024,71987.4868887357,"ARIMA(0,1,0) with drift"
Assam,2015,225242.210469809,"ARIMA(0,1,0) with drift"
Assam,2016,256105.8333619,"ARIMA(0,1,0) with drift"
Assam,2017,291198.518009506,"ARIMA(0,1,0) with drift"
Assam,2018,331099.748013577,"ARIMA(0,1,0) with drift"
Assam,2019,376468.410224106,"ARIMA(0,1,0) with drift"
Assam,2020,428053.67490299,"ARIMA(0,1,0) with drift"
Assam,2021,486707.366731994,"ARIMA(0,1,0) with drift"
Assam,2022,553398.030947583,"ARIMA(0,1,0) with drift"
Assam,2023,629226.926875958,"ARIMA(0,1,0) with drift"
Assam,2024,715446.212968661,"ARIMA(0,1,0) with drift"
Bihar,2015,432634.674559252,"ARIMA(0,1,0) with drift"
Bihar,2016,500569.003078171,"ARIMA(0,1,0) with drift"
Bihar,2017,579170.698922694,"ARIMA(0,1,0) with drift"
Bihar,2018,670114.80221083,"ARIMA(0,1,0) with drift"
Bihar,2019,775339.375726946,"ARIMA(0,1,0) with drift"
Bihar,2020,897086.805976146,"ARIMA(0,1,0) with drift"
Bihar,2021,1037951.5895242,"ARIMA(0,1,0) with drift"
