state_name,year,forecast,model
Andhra Pradesh,2015,611905.067027204,Holt's method
Andhra Pradesh,2016,702446.670700428,Holt's method
Andhra Pradesh,2017,806385.42114929,Holt's method
Andhra Pradesh,2018,925703.65063262,Holt's method
Andhra Pradesh,2019,1062677.01066971,Holt's method
Andhra Pradesh,2020,1219917.87353778,Holt's method
Andhra Pradesh,2021,1400425.155748,Holt's method
Andhra Pradesh,2022,1607641.51373922,Holt's method
Andhra Pradesh,2023,1845519.00263265,Holt's method
Andhra Pradesh,2024,2118594.45029902,Holt's method
Arunachal Pradesh,2015,19007.0983059692,Holt's method
Arunachal Pradesh,2016,21987.8431296699,Holt's method
Arunachal Pradesh,2017,25436.0364592388,Holt's method
Arunachal Pradesh,2018,29424.9848400407,Holt's method
Arunachal Pradesh,2019,34039.4909491545,Holt's method
Arunachal Pradesh,2020,39377.6564499997,Holt's method
Arunachal Pradesh,2021,45552.9675755247,Holt's method
Arunachal Pradesh,2022,52696.7077782208,Holt's method
Arunachal Pradesh,2023,60960.7487384691,Holt's method
Arunachal Pradesh,2024,70520.7790664041,Holt's method
Assam,2015,225395.929505137,Holt's method
Assam,2016,256274.459964406,Holt's method
Assam,2017,291383.25157088,Holt's method
Assam,2018,331301.836741012,Holt's method
Assam,2019,376689.142001935,Holt's method
Assam,2020,428294.364733862,Holt's method
Assam,2021,486969.33999186,Holt's method
Assam,2022,553682.601543134,Holt's method
Assam,2023,629535.369222006,Holt's method
Assam,2024,715779.726502048,Holt's method
Bihar,2015,431531.296296999,Holt's method
Bihar,2016,499354.449785189,Holt's method
Bihar,2017,577837.270807472,Holt's method
Bihar,2018,668655.123986304,Holt's method
Bihar,2019,773746.688593419,Holt's method
Bihar,2020,895355.343334726,Holt's method
Bihar,2021,1036077.05552236,Holt's method
Bihar,2022,1198915.79691905,Holt's method
Bihar,2023,1387347.66921109,Holt's method
Bihar,2024,1605395.10798973,Holt's method
Chhattisgarh,2015,266193.80993358,Holt's method
Chhattisgarh,2016,300356.592409497,Holt's method
Chhattisgarh,2017,338903.758229221,Holt's method
Chhattisgarh,2018,382397.990403683,Holt's method
Chhattisgarh,2019,431474.185558817,Holt's method
Chhattisgarh,2020,486848.721686827,Holt's method
Chhattisgarh,2021,549329.91530217,Holt's method
Chhattisgarh,2022,619829.820648071,Holt's method
Chhattisgarh,2023,699377.543189669,Holt's method
Chhattisgarh,2024,789134.261734295,Holt's method
Delhi,2015,575502.969096518,Holt's method
Delhi,2016,669825.200435855,Holt's method
Delhi,2017,779606.402106479,Holt's method
Delhi,2018,907380.226676935,Holt's method
Delhi,2019,1056095.58046168,Holt's method
Delhi,2020,1229184.68165805,Holt's method
Delhi,2021,1430642.27289191,Holt's method
Delhi,2022,1665117.81632723,Holt's method
Delhi,2023,1938022.79912068,Holt's method
Delhi,2024,2255655.62573588,Holt's method
Goa,2015,52487.9263671549,Holt's method
Goa,2016,60310.8727769846,Holt's method
Goa,2017,69299.7728597213,Holt's method
Goa,2018,79628.4035909633,Holt's method
Goa,2019,91496.4421496782,Holt's method
Goa,2020,105133.326156491,Holt's method
Goa,2021,120802.689252611,Holt's method
Goa,2022,138807.457769773,Holt's method
Goa,2023,159495.707022026,Holt's method
Goa,2024,183267.390435528,Holt's method
Gujarat,2015,1041511.86066773,Holt's method
Gujarat,2016,1197852.64089086,Holt's method
Gujarat,2017,1377661.65079417,Holt's method
Gujarat,2018,1584461.69359979,Holt's method
Gujarat,2019,1822304.37860987,Holt's method
Gujarat,2020,2095849.50000027,Holt's method
Gujarat,2021,2410456.33112193,Holt's method
Gujarat,2022,2772288.62294027,Holt's method
Gujarat,2023,3188435.36373333,Holt's method
Gujarat,2024,3667049.6659627,Holt's method
Haryana,2015,512863.275383244,Holt's method
Haryana,2016,591147.391485479,Holt's method
Haryana,2017,681380.896690155,Holt's method
Haryana,2018,785387.761261372,Holt's method
Haryana,2019,905270.368652035,Holt's method
Haryana,2020,1043452.0128544,Holt's method
Haryana,2021,1202725.88260139,Holt's method
Haryana,2022,1386311.52257994,Holt's method
Haryana,2023,1597919.9129573,Holt's method
Haryana,2024,1841828.48273068,Holt's method
Himachal Pradesh,2015,120505.694044783,Holt's method
Himachal Pradesh,2016,139109.478659249,Holt's method
Himachal Pradesh,2017,160585.333383969,Holt's method
Himachal Pradesh,2018,185376.651156947,Holt's method
Himachal Pradesh,2019,213995.276343182,Holt's method
Himachal Pradesh,2020,247032.072331612,Holt's method
Himachal Pradesh,2021,285169.120567811,Holt's method
Himachal Pradesh,2022,329193.802885051,Holt's method
Himachal Pradesh,2023,380015.057879147,Holt's method
Himachal Pradesh,2024,438682.146958026,Holt's method
Jammu & Kashmir,2015,119225.399804545,Holt's method
Jammu & Kashmir,2016,135646.688141324,Holt's method
Jammu & Kashmir,2017,154329.73203591,Holt's method
Jammu & Kashmir,2018,175586.050176627,Holt's method
Jammu & Kashmir,2019,199770.067698006,Holt's method
Jammu & Kashmir,2020,227285.025820224,Holt's method
Jammu & Kashmir,2021,258589.705441722,Holt's method
Jammu & Kashmir,2022,294206.076793319,Holt's method
Jammu & Kashmir,2023,334728.0027032,Holt's method
Jammu & Kashmir,2024,380831.140589879,Holt's method
Jharkhand,2015,242863.804510022,Holt's method
Jharkhand,2016,271676.865495834,Holt's method
Jharkhand,2017,303908.272352688,Holt's method
Jharkhand,2018,339963.573401181,Holt's method
Jharkhand,2019,380296.430712402,Holt's method
Jharkhand,2020,425414.328263708,Holt's method
Jharkhand,2021,475884.957303018,Holt's method
Jharkhand,2022,532343.359264834,Holt's method
Jharkhand,2023,595499.916112964,Holt's method
Jharkhand,2024,666149.288647607,Holt's method
Karnataka,2015,1066050.28927933,Holt's method
Karnataka,2016,1235199.91050732,Holt's method
Karnataka,2017,1431188.41039733,Holt's method
Karnataka,2018,1658274.29927059,Holt's method
Karnataka,2019,1921391.78297143,Holt's method
Karnataka,2020,2226257.97510942,Holt's method
Karnataka,2021,2579497.12060988,Holt's method
Karnataka,2022,2988784.52974779,Holt's method
Karnataka,2023,3463013.35011674,Holt's method
Karnataka,2024,4012487.80021581,Holt's method
Kerala,2015,607212.239349755,Holt's method
Kerala,2016,699464.666108381,Holt's method
Kerala,2017,805732.802187967,Holt's method
Kerala,2018,928146.023634996,Holt's method
Kerala,2019,1069157.21793897,Holt's method
Kerala,2020,1231591.93441799,Holt's method
Kerala,2021,1418705.00191491,Holt's method
Kerala,2022,1634245.74829612,Holt's method
Kerala,2023,1882533.12860606,Holt's method
Kerala,2024,2168542.26727789,Holt's method
Madhya Pradesh,2015,559246.451276662,Holt's method
Madhya Pradesh,2016,645471.989037654,Holt's method
Madhya Pradesh,2017,744991.922042819,Holt's method
Madhya Pradesh,2018,859856.002018819,Holt's method
Madhya Pradesh,2019,992430.014785172,Holt's method
Madhya Pradesh,2020,1145444.50691052,Holt's method
Madhya Pradesh,2021,1322051.02512493,Holt's method
Madhya Pradesh,2022,1525887.02681727,Holt's method
Madhya Pradesh,2023,1761150.7985399,Holt's method
Madhya Pradesh,2024,2032687.92557153,Holt's method
Maharashtra,2015,2030656.4891956,Holt's method
Maharashtra,2016,2300926.41235537,Holt's method
Maharashtra,2017,2607167.87070755,Holt's method
Maharashtra,2018,2954168.49037409,Holt's method
